seed,fold,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
44,1,Nested logistic fusion,588,315,273,0.9830222687365544,0.9867592690231347,0.9336734693877551,0.9332112332112332,0.9381933438985737,0.9367088607594937,0.9396825396825397,0.9396825396825397,0.9267399267399268,0.8666391659035714,0.04965027107994988,0.16787069386610007,253,20,19,296
44,1,Feature concatenation LR,588,315,273,0.9820454677597535,0.9861976606359241,0.9268707482993197,0.9261294261294262,0.9320695102685624,0.9276729559748428,0.9365079365079365,0.9365079365079365,0.9157509157509157,0.8529286039160539,0.0564806600959143,0.21989287233711505,250,23,20,295
44,2,Molecular branch,519,243,276,0.977589908749329,0.9785367351694152,0.9171483622350675,0.9149668992664162,0.9087048832271762,0.9385964912280702,0.8806584362139918,0.8806584362139918,0.9492753623188406,0.8344248150787882,0.0664203547331738,0.3349187154383648,262,14,29,214
44,2,Contextual branch,519,243,276,0.9851643108486909,0.9835362539944777,0.9267822736030829,0.9264850599391663,0.9218106995884774,0.9218106995884774,0.9218106995884774,0.9218106995884774,0.9311594202898551,0.8529701198783325,0.05792905670432144,0.22821164555378387,257,19,19,224
44,2,Equal probability mean,519,243,276,0.9869237192103536,0.9865223933651478,0.9383429672447013,0.9361245303274288,0.9319148936170213,0.9647577092511013,0.9012345679012346,0.9012345679012346,0.9710144927536232,0.8773923307382722,0.04795949447474567,0.16359201384241587,268,8,24,219
44,2,Equal logit mean,519,243,276,0.9900101389634401,0.9895010556629829,0.9383429672447013,0.9361245303274288,0.9319148936170213,0.9647577092511013,0.9012345679012346,0.9012345679012346,0.9710144927536232,0.8773923307382722,0.04827106611630724,0.19948719985915064,268,8,24,219
44,2,Learned convex probability mean,519,243,276,0.9871324625752967,0.986446485360158,0.928709055876686,0.928050635176239,0.9233954451345756,0.9291666666666667,0.9176954732510288,0.9176954732510288,0.9384057971014492,0.8567913964382327,0.04987904112757243,0.16292368778731528,259,17,20,223
44,2,Nested logistic fusion,519,243,276,0.9893689986282578,0.9884536641251375,0.9383429672447013,0.9380926820540347,0.934156378600823,0.934156378600823,0.934156378600823,0.934156378600823,0.9420289855072463,0.8761853641080695,0.04247185736757305,0.1362084709481484,260,16,16,227
44,2,Feature concatenation LR,519,243,276,0.9890260631001372,0.987747967522928,0.9402697495183044,0.9399042762569332,0.9360824742268041,0.9380165289256198,0.934156378600823,0.934156378600823,0.9456521739130435,0.8800316460087859,0.04598839945431873,0.1500277411439176,261,15,16,227
44,3,Molecular branch,555,252,303,0.9501414427157001,0.9541995309592919,0.9045045045045045,0.8988488134527739,0.888421052631579,0.9461883408071748,0.8373015873015873,0.8373015873015873,0.9603960396039604,0.8100995880459,0.09165118460778102,0.7502387591032904,291,12,41,211
44,3,Contextual branch,555,252,303,0.9771465241762272,0.9715300974342299,0.918918918918919,0.9153897532610404,0.9075975359342916,0.9404255319148936,0.876984126984127,0.876984126984127,0.9537953795379538,0.8371406659759721,0.07143330157426164,0.37534284672791346,289,14,31,221
44,3,Equal probability mean,555,252,303,0.9771334276284771,0.9760404125750801,0.9099099099099099,0.9041332704699041,0.8945147679324894,0.954954954954955,0.8412698412698413,0.8412698412698413,0.966996699669967,0.8214432811874525,0.06520725426444543,0.29182306061635926,293,10,40,212
44,3,Equal logit mean,555,252,303,0.9775787102519776,0.9766155583377992,0.9099099099099099,0.9041332704699041,0.8945147679324894,0.954954954954955,0.8412698412698413,0.8412698412698413,0.966996699669967,0.8214432811874525,0.0754733706016651,0.44041643275468695,293,10,40,212
44,3,Learned convex probability mean,555,252,303,0.9783252134737284,0.9770641307557486,0.9117117117117117,0.9074532453245325,0.8985507246376812,0.9393939393939394,0.8611111111111112,0.8611111111111112,0.9537953795379538,0.8230967114200488,0.0640417603814352,0.2819566606839452,289,14,35,217
