evaluation,replicate,metric,value
Similarity-grouped development OOF,59,ECE_equal_width_10,0.01263080801489197
Similarity-grouped development OOF,59,ECE_equal_frequency_10,0.012082376997447136
Similarity-grouped development OOF,59,Calibration_intercept,0.15919937459660713
Similarity-grouped development OOF,59,Calibration_slope,1.0028924914717745
Similarity-grouped development OOF,60,Brier,0.050089805974341595
Similarity-grouped development OOF,60,LogLoss,0.16578767488893217
Similarity-grouped development OOF,60,ECE_equal_width_10,0.014063613066957012
Similarity-grouped development OOF,60,ECE_equal_frequency_10,0.0084650079969826
Similarity-grouped development OOF,60,Calibration_intercept,-0.017590907551780503
Similarity-grouped development OOF,60,Calibration_slope,1.0085020359770847
Similarity-grouped development OOF,61,Brier,0.05052731187210143
Similarity-grouped development OOF,61,LogLoss,0.16848653005809397
Similarity-grouped development OOF,61,ECE_equal_width_10,0.01268145057457371
Similarity-grouped development OOF,61,ECE_equal_frequency_10,0.011338318681790695
Similarity-grouped development OOF,61,Calibration_intercept,0.02573085313155639
Similarity-grouped development OOF,61,Calibration_slope,1.0077196067419192
Similarity-grouped development OOF,62,Brier,0.052007537745738186
Similarity-grouped development OOF,62,LogLoss,0.17082533279299936
Similarity-grouped development OOF,62,ECE_equal_width_10,0.01935572207877869
Similarity-grouped development OOF,62,ECE_equal_frequency_10,0.016890874244259543
Similarity-grouped development OOF,62,Calibration_intercept,0.22082139720836347
Similarity-grouped development OOF,62,Calibration_slope,1.0016900128782438
Similarity-grouped development OOF,63,Brier,0.04634704378181294
Similarity-grouped development OOF,63,LogLoss,0.15488624776118434
Similarity-grouped development OOF,63,ECE_equal_width_10,0.017076591864484455
Similarity-grouped development OOF,63,ECE_equal_frequency_10,0.005007298004390268
Similarity-grouped development OOF,63,Calibration_intercept,0.02684703107691734
Similarity-grouped development OOF,63,Calibration_slope,1.044796374335119
Similarity-grouped development OOF,64,Brier,0.05048894696263281
Similarity-grouped development OOF,64,LogLoss,0.16749905950851368
Similarity-grouped development OOF,64,ECE_equal_width_10,0.0161646739735527
Similarity-grouped development OOF,64,ECE_equal_frequency_10,0.011681357905575378
Similarity-grouped development OOF,64,Calibration_intercept,0.0711741026567888
Similarity-grouped development OOF,64,Calibration_slope,0.9694092742041643
Similarity-grouped development OOF,65,Brier,0.047054714223959335
Similarity-grouped development OOF,65,LogLoss,0.15672055063565715
Similarity-grouped development OOF,65,ECE_equal_width_10,0.013796564374765872
Similarity-grouped development OOF,65,ECE_equal_frequency_10,0.01021535146488211
Similarity-grouped development OOF,65,Calibration_intercept,0.07849159980225916
Similarity-grouped development OOF,65,Calibration_slope,1.0099236287490159
Similarity-grouped development OOF,66,Brier,0.04985562643149199
Similarity-grouped development OOF,66,LogLoss,0.16534506932213167
Similarity-grouped development OOF,66,ECE_equal_width_10,0.011685400492586392
Similarity-grouped development OOF,66,ECE_equal_frequency_10,0.010556449796552082
Similarity-grouped development OOF,66,Calibration_intercept,-0.010510944325952705
Similarity-grouped development OOF,66,Calibration_slope,1.0033513481740601
Similarity-grouped development OOF,67,Brier,0.049273605781336015
Similarity-grouped development OOF,67,LogLoss,0.16557286831804013
Similarity-grouped development OOF,67,ECE_equal_width_10,0.014041543048210023
Similarity-grouped development OOF,67,ECE_equal_frequency_10,0.010279541143780907
Similarity-grouped development OOF,67,Calibration_intercept,0.03547230235510005
Similarity-grouped development OOF,67,Calibration_slope,0.9898788479907683
Similarity-grouped development OOF,68,Brier,0.048165005002997564
Similarity-grouped development OOF,68,LogLoss,0.16296738660288185
Similarity-grouped development OOF,68,ECE_equal_width_10,0.016059468050962068
Similarity-grouped development OOF,68,ECE_equal_frequency_10,0.012707420483241885
Similarity-grouped development OOF,68,Calibration_intercept,-0.006389988499413454
Similarity-grouped development OOF,68,Calibration_slope,1.0141758915668233
Similarity-grouped development OOF,69,Brier,0.04320131302283154
Similarity-grouped development OOF,69,LogLoss,0.14351367037193202
Similarity-grouped development OOF,69,ECE_equal_width_10,0.014243815907927304
Similarity-grouped development OOF,69,ECE_equal_frequency_10,0.00902629547565591
Similarity-grouped development OOF,69,Calibration_intercept,-0.05702627919283207
Similarity-grouped development OOF,69,Calibration_slope,1.1323533530903636
Similarity-grouped development OOF,70,Brier,0.05094820693338585
Similarity-grouped development OOF,70,LogLoss,0.16948282200794543
Similarity-grouped development OOF,70,ECE_equal_width_10,0.012298327600650086
